movie_num,movie_name,movie_type,movie_score,movie_comment
1,肖申克的救赎,犯罪剧情,9.7,2954376人评价
2,霸王别姬,剧情爱情同性,9.6,2182616人评价
3,阿甘正传,剧情爱情,9.5,2201721人评价
4,泰坦尼克号,剧情爱情灾难,9.5,2236171人评价
5,这个杀手不太冷,剧情动作犯罪,9.4,2333459人评价
6,千与千寻,剧情动画奇幻,9.4,2285436人评价
7,美丽人生,剧情喜剧爱情战争,9.5,1350022人评价
8,星际穿越,剧情科幻冒险,9.4,1892719人评价
9,盗梦空间,剧情科幻悬疑冒险,9.4,2105635人评价
10,辛德勒的名单,剧情历史战争,9.5,1140400人评价
11,楚门的世界,剧情科幻,9.4,1754510人评价
12,忠犬八公的故事,剧情,9.4,1420088人评价
13,海上钢琴师,剧情音乐,9.3,1706785人评价
14,三傻大闹宝莱坞,剧情喜剧爱情歌舞,9.2,1890732人评价
15,放牛班的春天,剧情音乐,9.3,1337115人评价
16,机器人总动员,科幻动画冒险,9.3,1340885人评价
17,疯狂动物城,喜剧动画冒险,9.2,1984785人评价
18,无间道,剧情犯罪惊悚,9.3,1394018人评价
19,控方证人,剧情犯罪悬疑,9.6,582321人评价
20,大话西游之大圣娶亲,喜剧爱情奇幻古装,9.2,1560290人评价
21,熔炉,剧情,9.4,947871人评价
22,教父,剧情犯罪,9.3,988104人评价
23,触不可及,剧情喜剧,9.3,1143178人评价
24,当幸福来敲门,剧情传记家庭,9.2,1546539人评价
25,寻梦环游记,喜剧动画奇幻音乐,9.1,1723816人评价
26,末代皇帝,剧情传记历史,9.3,907448人评价
27,龙猫,动画奇幻冒险,9.2,1289093人评价
28,怦然心动,剧情喜剧爱情,9.1,1866928人评价
29,活着,剧情历史家庭,9.3,865451人评价
30,哈利·波特与魔法石,奇幻冒险,9.2,1222353人评价
31,蝙蝠侠：黑暗骑士,剧情动作科幻犯罪惊悚,9.2,1083067人评价
32,指环王3：王者无敌,剧情动作奇幻冒险,9.3,819694人评价
33,我不是药神,剧情喜剧,9.0,2143449人评价
34,乱世佳人,剧情历史爱情战争,9.3,705458人评价
35,飞屋环游记,剧情喜剧动画冒险,9.1,1352502人评价
36,素媛,剧情,9.3,700894人评价
37,哈尔的移动城堡,动画奇幻冒险,9.1,1048945人评价
38,十二怒汉,剧情,9.4,503564人评价
39,何以为家,剧情,9.1,1064465人评价
40,让子弹飞,剧情喜剧动作西部,9.0,1732437人评价
41,摔跤吧！爸爸,剧情传记运动家庭,9.0,1595965人评价
42,猫鼠游戏,传记犯罪剧情,9.1,1053585人评价
43,天空之城,动画奇幻冒险,9.2,895678人评价
44,鬼子来了,剧情喜剧,9.3,639593人评价
45,少年派的奇幻漂流,剧情奇幻冒险,9.1,1371334人评价
46,海蒂和爷爷,剧情冒险家庭,9.3,639041人评价
47,钢琴家,剧情传记战争音乐,9.3,657512人评价
48,大话西游之月光宝盒,喜剧爱情奇幻古装,9.0,1242367人评价
49,指环王2：双塔奇兵,剧情动作奇幻冒险,9.2,769193人评价
50,闻香识女人,剧情,9.1,907251人评价
51,死亡诗社,剧情,9.2,746977人评价
52,绿皮书,剧情喜剧传记音乐,8.9,1685003人评价
53,罗马假日,喜剧剧情爱情,9.1,965631人评价
54,大闹天宫,剧情动画奇幻古装,9.4,448739人评价
55,天堂电影院,剧情爱情,9.2,688929人评价
56,指环王1：护戒使者,剧情动作奇幻冒险,9.1,864274人评价
57,黑客帝国,动作科幻,9.1,853434人评价
58,教父2,剧情犯罪,9.3,565193人评价
59,狮子王,动画冒险歌舞,9.1,861064人评价
60,辩护人,剧情,9.2,598596人评价
61,饮食男女,剧情家庭,9.2,634808人评价
62,搏击俱乐部,剧情动作悬疑惊悚,9.0,863109人评价
63,本杰明·巴顿奇事,剧情爱情奇幻,9.0,1002700人评价
64,美丽心灵,传记剧情,9.1,783053人评价
65,穿条纹睡衣的男孩,剧情战争,9.2,578447人评价
